X_lat,Y_lon,Z_depth
485628.6948,4408090.083000001,0.0
485610.3812,4408090.284,0.0
485604.0001,4408102.254,0.0
485596.7114,4408108.2469999995,0.0
485553.208,4408095.789,0.0
485521.0165,4408071.601,0.0
485502.364,4408062.0030000005,0.0
485461.7274,4408041.983,0.0
485455.6785,4408026.381,0.0
485435.1651,4408014.877,0.0
485421.4573,4408012.744,0.0
485402.0741,4408023.078,0.0
485386.8435,4408028.256,0.0
485373.5357,4408034.344,0.0
485353.7656,4408043.268,0.0
485314.67299999995,4408060.616,0.0
485306.3162,4408077.159,0.0
485299.0512,4408095.443,0.0
485296.3012,4408097.275,0.0
485268.039,4408118.755,0.0
485216.3302,4408135.132,0.0
485181.00899999996,4408148.653,0.0
485146.6887,4408149.883,0.0
485108.638,4408142.648,0.0
485092.4915,4408137.697,0.0
485053.4057,4408125.15,0.0
485024.3752,4408113.581,0.0
485005.2116,4408104.898,0.0
484956.9114,4408095.941000001,0.0
484937.3202,4408097.723999999,0.0
484881.2994,4408102.9,0.0
484856.467,4408109.593,0.0
484824.0765,4408115.304,0.0
484798.7206,4408116.351,0.0
484770.1565,4408114.0819999995,0.0
484729.1388,4408096.475,0.0
484704.5188,4408081.244,0.0
484690.774,4408060.593,0.0
484679.1485,4408043.093,0.0
484665.9652,4408015.133,0.0
484655.4184,4407992.732,0.0
484646.2219,4407973.151000001,0.0
484639.3992,4407955.808999999,0.0
484631.3544,4407935.728,0.0
484624.1406,4407914.981000001,0.0
484613.8313,4407883.444,0.0
484613.7426,4407871.153,0.0
484612.8594,4407814.018999999,0.0
484620.5725,4407764.508,0.0
484647.2208,4407736.801,0.0
484650.3625,4407706.732,0.0
484635.9473,4407671.549,0.0
484634.7074,4407628.119,0.0
484660.4095,4407607.306,0.0
484677.6661,4407558.274,0.0
484662.8775,4407496.6,0.0
484665.3111,4407464.706,0.0
484668.4961,4407424.173,0.0
484683.1519,4407387.355,0.0
484678.6281,4407334.879,0.0
484667.4626,4407291.8,0.0
484671.7024,4407266.297,0.0
484684.5986,4407246.174,0.0
484704.3461,4407225.29,0.0
484704.6968,4407208.5139999995,0.0
484705.0954,4407183.598999999,0.0
484699.0354,4407163.597,0.0
484691.3626,4407137.785,0.0
484684.3552,4407124.429,0.0
484673.2969,4407103.025,0.0
484652.3208,4407089.535,0.0
484380.2336,4407134.676,0.0
484304.0735,4407159.829,0.0
484241.3424,4407174.989,0.0
484233.8701,4407185.053,0.0
484231.0642,4407190.8719999995,0.0
484239.5501,4407237.692,0.0
484249.07200000004,4407258.848999999,0.0
484257.8246,4407279.676,0.0
484266.6886,4407292.447,0.0
484298.9879,4407334.485,0.0
484294.2845,4407351.851,0.0
484278.3174,4407372.977,0.0
484279.5063,4407390.581,0.0
484284.3988,4407402.945,0.0
