X_lat,Y_lon,Z_depth
484436.26152655337,4407503.575238842,-3.668192603740821
484431.099022232,4407526.643401818,-3.7180712866724166
484425.93651791057,4407549.711564794,-3.767949969604013
484420.77401358914,4407572.779727771,-3.8178286525356087
484447.80542352155,4407480.774209598,-3.6677567197271155
484442.7829950992,4407503.785064443,-3.7183169747236153
484437.76056667685,4407526.795919288,-3.7688772297201147
484432.7381382545,4407549.806774134,-3.819437484716614
484427.71570983215,4407572.817628979,-3.869997739713114
484454.18681616825,4407481.041343331,-3.708209918841753
484449.304463645,4407503.994890045,-3.7593278237095378
484444.4221111217,4407526.9484367585,-3.810445728577322
484439.53975859843,4407549.901983472,-3.8615636334451064
484434.65740607516,4407572.855530186,-3.9126815383128912
484460.568208815,4407481.308477065,-3.739673518153137
484455.8259321908,4407504.204715647,-3.7912251506985877
484451.08365556656,4407527.100954229,-3.8427767832440387
484446.34137894236,4407549.997192811,-3.8943284157894897
484441.59910231817,4407572.893431393,-3.9458800483349403
484466.9496014617,4407481.575610798,-3.7621475176612695
484462.3474007366,4407504.414541248,-3.8140089556907673
484457.7452000114,4407527.253471699,-3.8658703937202654
484453.1429992863,4407550.09240215,-3.917731831749763
484448.5407985612,4407572.9313326,-3.969593269779261
484473.33099410846,4407481.842744531,-3.7756319173661486
484468.8688692824,4407504.624366851,-3.8276792386860747
484464.4067444563,4407527.40598917,-3.8797265600060005
484459.94461963023,4407550.187611489,-3.9317738813259266
484455.4824948042,4407572.969233808,-3.983821202645853
484479.71238675516,4407482.109878264,-3.7801267172677746
484475.3903378282,4407504.834192452,-3.83223599968451
484471.0682889012,4407527.55850664,-3.884345282101246
484466.74623997416,4407550.282820828,-3.9364545645179816
484462.4241910472,4407573.007135016,-3.988563846934717
484479.71238675516,4407482.109878264,-3.7801267172677746
484475.3903378282,4407504.834192452,-3.83223599968451
484471.0682889012,4407527.55850664,-3.884345282101246
484466.74623997416,4407550.282820828,-3.9364545645179816
484462.4241910472,4407573.007135016,-3.988563846934717
484486.0937794019,4407482.377011998,-3.7756319173661486
484481.911806374,4407505.044018054,-3.8276792386860747
484477.7298333461,4407527.71102411,-3.8797265600060005
484473.54786031815,4407550.378030166,-3.9317738813259266
